epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8621,0.67647,1.02027,1.02984,0.66782,0.59339,0.65868,0.53426,0.75422,1.38844,1.08737,0.000164609,0.000164609,0.0672428
2,55.9081,0.66352,0.95072,1.01375,0.65981,0.66607,0.69073,0.57164,0.69999,1.20059,1.03906,0.000331194,0.000331194,0.0340761
3,81.6144,0.68061,0.99956,1.02627,0.6206,0.65306,0.67871,0.54346,0.76634,1.26294,1.10826,0.000497452,0.000497452,0.000908974
4,107.608,0.69085,1.02538,1.03377,0.72809,0.59887,0.65773,0.52725,0.75997,1.39541,1.09505,0.000498892,0.000498892,0.000498892
5,133.056,0.68527,1.01035,1.03359,0.65438,0.58722,0.65011,0.52178,0.76439,1.34575,1.12351,0.000498031,0.000498031,0.000498031
6,159.476,0.69739,0.99721,1.03329,0.72108,0.60978,0.68252,0.5487,0.76718,1.23193,1.0857,0.000496925,0.000496925,0.000496925
7,185.479,0.6995,0.99177,1.03346,0.69861,0.61935,0.68563,0.55227,0.77908,1.23536,1.11559,0.000495576,0.000495576,0.000495576
8,211.768,0.68541,0.94045,1.02766,0.74585,0.61039,0.68285,0.5522,0.74427,1.25193,1.08585,0.000493985,0.000493985,0.000493985
9,237.64,0.67848,0.92617,1.02122,0.68995,0.59638,0.67555,0.55105,0.74707,1.27996,1.0922,0.000492154,0.000492154,0.000492154
10,263.103,0.67638,0.93215,1.02489,0.76667,0.65167,0.722,0.5829,0.73947,1.18397,1.0849,0.000490083,0.000490083,0.000490083
11,289.108,0.66415,0.87765,1.01436,0.70531,0.65577,0.69857,0.58088,0.72723,1.2463,1.07409,0.000487776,0.000487776,0.000487776
12,314.334,0.67665,0.9219,1.01929,0.71861,0.62041,0.717,0.5789,0.76001,1.23405,1.09384,0.000485235,0.000485235,0.000485235
13,340.123,0.66518,0.88151,1.01772,0.79017,0.62276,0.729,0.59343,0.76886,1.13586,1.1055,0.000482462,0.000482462,0.000482462
14,366.626,0.63762,0.86069,1.00279,0.72595,0.62228,0.70132,0.57144,0.7473,1.16089,1.10455,0.000479459,0.000479459,0.000479459
15,391.732,0.66828,0.87765,1.02451,0.69705,0.65545,0.69033,0.55621,0.76009,1.17372,1.10235,0.000476231,0.000476231,0.000476231
16,418.321,0.66198,0.84774,1.02155,0.73112,0.57584,0.67058,0.54213,0.78269,1.32085,1.12246,0.000472779,0.000472779,0.000472779
17,443.758,0.63501,0.84611,1.00688,0.67183,0.61413,0.68157,0.55383,0.77842,1.25042,1.11578,0.000469108,0.000469108,0.000469108
