epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,469.056,0.63999,0.85371,1.01335,0.67239,0.67627,0.71029,0.58535,0.75499,1.16884,1.10737,0.00046522,0.00046522,0.00046522
19,495.126,0.62997,0.79144,0.99955,0.68157,0.66095,0.7017,0.57807,0.73756,1.18579,1.09736,0.000461121,0.000461121,0.000461121
20,520.658,0.63136,0.7904,0.9966,0.75767,0.63604,0.71625,0.59162,0.75136,1.11717,1.12131,0.000456813,0.000456813,0.000456813
21,546.502,0.65875,0.80063,1.0207,0.72325,0.62352,0.70583,0.5864,0.73551,1.14021,1.07873,0.000452302,0.000452302,0.000452302
22,573.215,0.63775,0.80059,1.00634,0.7456,0.67146,0.74938,0.6131,0.74446,1.06979,1.11046,0.000447591,0.000447591,0.000447591
23,598.587,0.63451,0.78418,1.00658,0.71119,0.68113,0.7176,0.59173,0.71888,1.19663,1.08453,0.000442686,0.000442686,0.000442686
24,624.794,0.63146,0.79111,1.00638,0.76942,0.64343,0.71343,0.57797,0.73573,1.13106,1.11943,0.00043759,0.00043759,0.00043759
25,650.261,0.60918,0.73815,1.00343,0.73313,0.66425,0.72588,0.60047,0.73241,1.15763,1.10025,0.00043231,0.00043231,0.00043231
26,675.962,0.59681,0.75361,0.99075,0.74068,0.67884,0.72791,0.6075,0.70257,1.07028,1.06924,0.00042685,0.00042685,0.00042685
27,702.313,0.60922,0.7393,1.00295,0.79195,0.64967,0.73717,0.60531,0.72199,1.10873,1.09907,0.000421216,0.000421216,0.000421216
28,727.972,0.61028,0.73228,0.99794,0.76823,0.62829,0.70704,0.59183,0.72402,1.13661,1.09076,0.000415413,0.000415413,0.000415413
29,753.592,0.59621,0.72885,0.98314,0.79883,0.64049,0.73216,0.60983,0.69082,1.09173,1.07507,0.000409447,0.000409447,0.000409447
30,779.483,0.60627,0.71965,0.98486,0.78212,0.66569,0.74203,0.61224,0.73308,1.02812,1.11158,0.000403324,0.000403324,0.000403324
31,805.887,0.58523,0.68982,0.97905,0.7758,0.65894,0.73133,0.61578,0.69069,1.06454,1.05984,0.000397049,0.000397049,0.000397049
32,831.757,0.59324,0.69575,0.97392,0.75029,0.68697,0.74395,0.61614,0.73122,1.05607,1.09933,0.00039063,0.00039063,0.00039063
33,857.618,0.59661,0.66381,0.98213,0.78925,0.65004,0.7384,0.61706,0.72398,1.03038,1.11349,0.000384073,0.000384073,0.000384073
34,883.475,0.59518,0.68031,0.98728,0.77525,0.67256,0.75546,0.62434,0.73291,1.01579,1.10458,0.000377383,0.000377383,0.000377383
35,910.379,0.57762,0.64257,0.97316,0.6731,0.74708,0.75675,0.63677,0.71223,1.02543,1.10074,0.000370568,0.000370568,0.000370568
36,936.016,0.57979,0.66016,0.97722,0.7683,0.66322,0.74573,0.62038,0.71447,1.04317,1.09805,0.000363634,0.000363634,0.000363634
37,961.793,0.56933,0.64392,0.97406,0.82563,0.6587,0.75209,0.63485,0.69663,1.02848,1.08307,0.000356588,0.000356588,0.000356588
38,987.724,0.56466,0.63909,0.97474,0.77628,0.66189,0.74928,0.63297,0.70213,1.02339,1.0946,0.000349438,0.000349438,0.000349438
39,1013.79,0.57235,0.63298,0.98002,0.72516,0.71838,0.75545,0.63197,0.71309,1.00528,1.09423,0.000342189,0.000342189,0.000342189
40,1039.21,0.58089,0.63173,0.97747,0.7836,0.68891,0.75735,0.62753,0.71783,1.02084,1.09706,0.00033485,0.00033485,0.00033485
41,1065.36,0.56033,0.62094,0.97085,0.75608,0.69873,0.75018,0.63286,0.70044,1.00609,1.08694,0.000327427,0.000327427,0.000327427
42,1091.14,0.55378,0.60405,0.96621,0.80866,0.67414,0.7574,0.63982,0.71412,1.03339,1.08413,0.000319928,0.000319928,0.000319928
43,1117.16,0.55767,0.6033,0.9695,0.76295,0.68609,0.74766,0.63294,0.69982,1.01114,1.08417,0.00031236,0.00031236,0.00031236
44,1143.47,0.54066,0.59164,0.95808,0.80726,0.68774,0.76491,0.6489,0.68907,0.94736,1.09684,0.000304731,0.000304731,0.000304731
45,1169.84,0.54224,0.58361,0.96815,0.80231,0.68944,0.76102,0.6419,0.68935,0.97274,1.08911,0.000297048,0.000297048,0.000297048
46,1195.45,0.54387,0.57042,0.97103,0.77012,0.72978,0.77996,0.65006,0.69216,0.96935,1.08163,0.00028932,0.00028932,0.00028932
47,1222.08,0.53951,0.57917,0.9585,0.83501,0.66743,0.76866,0.64875,0.6831,0.98139,1.06859,0.000281552,0.000281552,0.000281552
48,1248.3,0.531,0.57547,0.95653,0.77048,0.66749,0.76304,0.63464,0.71083,1.02654,1.098,0.000273754,0.000273754,0.000273754
49,1274.15,0.52922,0.56316,0.96413,0.75063,0.72017,0.76811,0.64761,0.67453,1.00324,1.07379,0.000265932,0.000265932,0.000265932
50,1299.33,0.52516,0.54734,0.95335,0.85064,0.67661,0.78804,0.65919,0.68186,0.95923,1.08005,0.000258095,0.000258095,0.000258095
51,1326.09,0.52611,0.53558,0.95289,0.8192,0.66751,0.77662,0.64973,0.6932,0.9879,1.08448,0.00025025,0.00025025,0.00025025
52,1351.63,0.52652,0.52197,0.95444,0.77472,0.70059,0.7764,0.65354,0.6729,0.94643,1.07025,0.000242405,0.000242405,0.000242405
53,1377.2,0.51201,0.53345,0.94153,0.79977,0.7058,0.77902,0.6532,0.69261,0.96121,1.08591,0.000234568,0.000234568,0.000234568
54,1402.81,0.5202,0.54144,0.95165,0.8273,0.69137,0.77654,0.64974,0.69071,0.94497,1.11018,0.000226746,0.000226746,0.000226746
55,1429.16,0.50782,0.52054,0.9424,0.76972,0.71876,0.77351,0.66178,0.66127,0.95831,1.06892,0.000218948,0.000218948,0.000218948
56,1454.81,0.51162,0.52109,0.94479,0.77379,0.73237,0.792,0.66728,0.67177,0.89791,1.08018,0.00021118,0.00021118,0.00021118
57,1480.51,0.50278,0.51576,0.95276,0.78168,0.70517,0.79287,0.66622,0.65289,0.89251,1.05912,0.000203452,0.000203452,0.000203452
58,1507.15,0.49787,0.51714,0.94643,0.82399,0.67726,0.7806,0.65692,0.67485,0.92891,1.09192,0.000195769,0.000195769,0.000195769
59,1533.79,0.50269,0.50368,0.9416,0.82435,0.70484,0.78309,0.6559,0.66454,0.89979,1.08365,0.00018814,0.00018814,0.00018814
60,1559.74,0.49762,0.49628,0.93643,0.83383,0.67847,0.77433,0.65904,0.64704,0.95088,1.05235,0.000180572,0.000180572,0.000180572
61,1585.55,0.48042,0.48974,0.93377,0.81249,0.69912,0.79335,0.67333,0.66285,0.89875,1.07759,0.000173073,0.000173073,0.000173073
62,1612.42,0.47488,0.47697,0.93059,0.80802,0.7131,0.78894,0.66655,0.67714,0.92885,1.09615,0.00016565,0.00016565,0.00016565
63,1637.98,0.48731,0.47251,0.93659,0.82,0.70595,0.78617,0.67005,0.63981,0.88899,1.0681,0.000158311,0.000158311,0.000158311
64,1663.75,0.49131,0.49171,0.94264,0.80842,0.70748,0.78929,0.66702,0.65114,0.90151,1.08283,0.000151062,0.000151062,0.000151062
65,1689.32,0.47432,0.47464,0.92736,0.81481,0.69506,0.77912,0.66278,0.6664,0.90886,1.086,0.000143912,0.000143912,0.000143912
66,1716.13,0.47387,0.4533,0.9375,0.81336,0.70726,0.7802,0.66894,0.66644,0.88642,1.08868,0.000136866,0.000136866,0.000136866
67,1741.72,0.47246,0.44826,0.92934,0.80487,0.73715,0.79267,0.67331,0.65291,0.89689,1.07564,0.000129932,0.000129932,0.000129932
68,1767.83,0.46205,0.45111,0.92673,0.84107,0.70659,0.78949,0.67277,0.65691,0.88898,1.06962,0.000123117,0.000123117,0.000123117
69,1794.02,0.46352,0.44055,0.9281,0.81192,0.71023,0.79277,0.6767,0.64781,0.85894,1.06686,0.000116427,0.000116427,0.000116427
70,1819.91,0.45795,0.4394,0.93015,0.81811,0.72801,0.80177,0.68749,0.64482,0.85083,1.08043,0.00010987,0.00010987,0.00010987
71,1845.62,0.45969,0.44062,0.92648,0.83355,0.7012,0.79136,0.67801,0.65023,0.87617,1.07698,0.000103451,0.000103451,0.000103451
72,1871.47,0.45039,0.43918,0.92921,0.78466,0.719,0.7966,0.68529,0.64506,0.86521,1.06869,9.71765e-05,9.71765e-05,9.71765e-05
73,1897.32,0.45492,0.43005,0.92519,0.84123,0.70429,0.80275,0.68745,0.64072,0.84153,1.06721,9.10534e-05,9.10534e-05,9.10534e-05
74,1923.05,0.44724,0.42701,0.91841,0.81021,0.72286,0.79416,0.67516,0.65998,0.86594,1.08068,8.50874e-05,8.50874e-05,8.50874e-05
75,1948.61,0.44117,0.41643,0.91577,0.82131,0.70737,0.78988,0.67099,0.66544,0.88462,1.09237,7.92844e-05,7.92844e-05,7.92844e-05
76,1975.57,0.45098,0.42431,0.92678,0.79008,0.71814,0.79031,0.67542,0.64746,0.86537,1.07994,7.36501e-05,7.36501e-05,7.36501e-05
77,2000.99,0.44396,0.42406,0.92312,0.8431,0.69732,0.79594,0.67836,0.65596,0.86803,1.08898,6.81901e-05,6.81901e-05,6.81901e-05
78,2026.68,0.45729,0.42766,0.92267,0.81958,0.70608,0.79882,0.6843,0.65463,0.85394,1.07822,6.29098e-05,6.29098e-05,6.29098e-05
79,2052.25,0.43679,0.41751,0.91541,0.83278,0.68316,0.79967,0.67918,0.65313,0.84597,1.07568,5.78143e-05,5.78143e-05,5.78143e-05
80,2078.24,0.44763,0.41166,0.924,0.84566,0.68242,0.79516,0.6809,0.65643,0.85683,1.08543,5.29088e-05,5.29088e-05,5.29088e-05
81,2104.35,0.42829,0.41336,0.9195,0.79968,0.71006,0.80237,0.68883,0.63952,0.83782,1.07789,4.8198e-05,4.8198e-05,4.8198e-05
82,2130.34,0.44209,0.40925,0.91865,0.84191,0.70029,0.79994,0.68524,0.65307,0.8558,1.08599,4.36866e-05,4.36866e-05,4.36866e-05
83,2156.59,0.42842,0.40741,0.91523,0.82467,0.71089,0.80073,0.68252,0.64914,0.86737,1.08324,3.93791e-05,3.93791e-05,3.93791e-05
84,2183.33,0.43646,0.4124,0.91905,0.82363,0.71238,0.80012,0.68263,0.65123,0.87179,1.08539,3.52797e-05,3.52797e-05,3.52797e-05
85,2208.72,0.43053,0.39853,0.91886,0.83964,0.7085,0.8022,0.68561,0.64371,0.86759,1.07835,3.13924e-05,3.13924e-05,3.13924e-05
86,2235.07,0.41734,0.39247,0.90782,0.83606,0.69935,0.80058,0.6854,0.64349,0.8661,1.07865,2.77211e-05,2.77211e-05,2.77211e-05
87,2261.13,0.41797,0.39726,0.9094,0.80101,0.72486,0.79618,0.6868,0.64139,0.85836,1.07904,2.42694e-05,2.42694e-05,2.42694e-05
88,2286.84,0.42988,0.40463,0.91823,0.82365,0.71204,0.80388,0.68926,0.63924,0.85263,1.07864,2.10408e-05,2.10408e-05,2.10408e-05
89,2312.95,0.41884,0.3841,0.90862,0.83097,0.71086,0.80293,0.68941,0.63998,0.85585,1.07778,1.80383e-05,1.80383e-05,1.80383e-05
90,2339.5,0.42141,0.38035,0.91481,0.84735,0.70315,0.80283,0.68904,0.63938,0.84773,1.07973,1.5265e-05,1.5265e-05,1.5265e-05
91,2385.54,0.29321,0.23625,0.8118,0.82242,0.70473,0.7868,0.6747,0.64527,0.87525,1.08627,1.27236e-05,1.27236e-05,1.27236e-05
92,2411.06,0.28932,0.23478,0.80714,0.82408,0.70098,0.78519,0.67227,0.64324,0.88716,1.08494,1.04167e-05,1.04167e-05,1.04167e-05
93,2437.2,0.29,0.22415,0.8176,0.82657,0.69129,0.78466,0.6729,0.64195,0.88899,1.08725,8.34636e-06,8.34636e-06,8.34636e-06
94,2463.41,0.28064,0.22253,0.8134,0.828,0.69746,0.78596,0.67655,0.6408,0.88848,1.08294,6.51479e-06,6.51479e-06,6.51479e-06
95,2489.05,0.28075,0.21945,0.81203,0.82844,0.69814,0.78654,0.67874,0.63833,0.88528,1.08474,4.92376e-06,4.92376e-06,4.92376e-06
96,2514.53,0.27776,0.22199,0.81446,0.82008,0.69951,0.78792,0.67581,0.63935,0.88279,1.087,3.57484e-06,3.57484e-06,3.57484e-06
97,2541.26,0.28114,0.21986,0.81149,0.82183,0.69824,0.78758,0.67694,0.64215,0.88251,1.08938,2.46935e-06,2.46935e-06,2.46935e-06
98,2567.49,0.28605,0.21867,0.81024,0.80761,0.70796,0.78585,0.6765,0.64184,0.88123,1.08946,1.6084e-06,1.6084e-06,1.6084e-06
99,2593.04,0.28451,0.21803,0.80543,0.82258,0.70094,0.78902,0.67702,0.6424,0.87727,1.0893,9.92825e-07,9.92825e-07,9.92825e-07
100,2620.04,0.28711,0.22053,0.81115,0.82268,0.69782,0.78965,0.67769,0.64339,0.88395,1.09152,6.23237e-07,6.23237e-07,6.23237e-07
