               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027712,            0.014114,            0.014407,             0.77096,             0.62656,             0.69355,             0.49017,            0.034733,            0.012133,             0.03948,            0.006436,            0.006436,            0.006436
                  38,            0.028814,            0.014322,            0.012478,             0.74166,             0.61267,             0.68448,             0.49229,            0.034299,             0.01214,             0.03814,            0.006337,            0.006337,            0.006337
                  39,            0.027664,            0.013869,            0.013903,             0.77048,             0.61415,              0.7017,             0.50097,            0.033022,            0.012331,            0.035833,            0.006238,            0.006238,            0.006238
                  40,            0.027875,            0.014089,            0.012387,             0.79988,              0.6451,             0.72247,             0.51713,            0.032973,            0.011916,            0.035663,            0.006139,            0.006139,            0.006139
                  41,            0.027821,            0.014187,            0.012476,             0.75196,               0.614,             0.69901,             0.50044,            0.033981,            0.011836,            0.035415,             0.00604,             0.00604,             0.00604
                  42,            0.027448,            0.013791,            0.011994,             0.76295,             0.59095,             0.68225,             0.49894,            0.033306,            0.011806,            0.038364,            0.005941,            0.005941,            0.005941
                  43,            0.027109,            0.014063,            0.011989,             0.76833,             0.62659,             0.71132,             0.51063,            0.032556,            0.011872,            0.036731,            0.005842,            0.005842,            0.005842
                  44,             0.02695,            0.013722,            0.012004,             0.76627,             0.59469,             0.70002,             0.51076,            0.032299,            0.012066,            0.038519,            0.005743,            0.005743,            0.005743
                  45,            0.026759,            0.013467,            0.012172,             0.79034,              0.6194,             0.70398,               0.512,            0.031539,            0.012033,            0.037405,            0.005644,            0.005644,            0.005644
                  46,            0.026484,            0.013312,            0.011692,             0.75136,             0.59804,             0.68713,             0.50374,            0.031972,            0.011769,            0.042899,            0.005545,            0.005545,            0.005545
                  47,            0.026381,            0.013599,            0.011811,             0.77594,             0.63806,             0.71312,             0.50907,            0.032334,            0.012011,             0.03745,            0.005446,            0.005446,            0.005446
                  48,            0.026177,            0.013732,            0.011108,             0.71073,              0.6056,             0.67493,             0.49448,            0.032263,            0.012074,            0.043301,            0.005347,            0.005347,            0.005347
                  49,            0.025818,            0.013444,            0.011309,             0.75784,             0.60283,              0.6873,             0.50357,             0.03209,            0.012202,            0.041288,            0.005248,            0.005248,            0.005248
                  50,            0.025473,            0.013376,            0.010453,             0.68932,             0.63797,             0.68635,              0.5115,            0.031288,            0.012084,            0.041746,            0.005149,            0.005149,            0.005149
                  51,            0.025005,            0.013177,            0.010912,             0.76405,              0.5863,             0.68692,             0.50364,            0.031392,            0.011808,             0.03944,             0.00505,             0.00505,             0.00505
                  52,            0.025081,            0.013039,            0.010748,             0.69304,             0.64955,             0.70074,             0.52031,            0.030695,            0.011778,            0.037645,            0.004951,            0.004951,            0.004951
                  53,            0.024743,             0.01277,           0.0098555,             0.72971,             0.64075,              0.6995,             0.52491,            0.031275,            0.012038,             0.04089,            0.004852,            0.004852,            0.004852
                  54,            0.024844,            0.012954,           0.0092277,             0.79593,             0.64956,             0.71671,             0.53392,            0.033578,            0.012467,            0.038573,            0.004753,            0.004753,            0.004753
                  55,            0.024725,            0.012585,           0.0092747,              0.7224,             0.64817,             0.71219,             0.52461,             0.03224,            0.011769,            0.039855,            0.004654,            0.004654,            0.004654
                  56,            0.024575,            0.012791,            0.010297,               0.789,             0.60177,             0.70257,             0.52371,            0.032016,            0.012005,            0.042248,            0.004555,            0.004555,            0.004555
                  57,            0.024269,            0.013132,            0.010258,              0.7631,             0.63158,             0.71545,             0.53458,            0.032044,            0.012158,            0.037836,            0.004456,            0.004456,            0.004456
