               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024654,            0.013188,            0.030961,             0.56948,             0.55801,             0.57314,               0.431,            0.029471,            0.011086,            0.048772,            0.002872,            0.002872,            0.002872
                  38,            0.025428,            0.013531,            0.029342,             0.58651,             0.55966,             0.57467,             0.42187,            0.030079,            0.011182,            0.047156,            0.002674,            0.002674,            0.002674
                  39,            0.024506,            0.013095,            0.029498,             0.61136,             0.55695,             0.59529,             0.44448,            0.029046,            0.010728,            0.047693,            0.002476,            0.002476,            0.002476
                  40,            0.024108,            0.013343,            0.027109,             0.58405,             0.58499,             0.59188,             0.44428,            0.028638,            0.010673,            0.046161,            0.002278,            0.002278,            0.002278
                  41,            0.023593,            0.013276,            0.026355,             0.54917,             0.60952,              0.5896,             0.43875,            0.028716,            0.010807,            0.047574,             0.00208,             0.00208,             0.00208
                  42,            0.023243,            0.012986,             0.02505,              0.5892,             0.58288,             0.60422,             0.45147,             0.02851,            0.010924,            0.046148,            0.001882,            0.001882,            0.001882
                  43,             0.02324,            0.013045,            0.025095,             0.59305,             0.59236,             0.60989,             0.46042,            0.028665,            0.010907,            0.047582,            0.001684,            0.001684,            0.001684
                  44,            0.022702,            0.012735,            0.024118,             0.61919,              0.5618,             0.60638,             0.46943,            0.028129,            0.010877,            0.047546,            0.001486,            0.001486,            0.001486
                  45,            0.021714,             0.01256,            0.023882,             0.62169,               0.611,             0.61139,             0.46941,            0.028226,            0.011109,            0.046953,            0.001288,            0.001288,            0.001288
                  46,            0.021538,            0.012349,            0.022204,             0.63832,             0.60845,             0.62928,             0.48713,            0.028035,            0.010913,            0.044654,             0.00109,             0.00109,             0.00109
                  47,            0.020974,            0.012525,            0.022619,             0.65929,             0.60103,             0.63698,             0.49528,            0.027444,            0.010861,            0.044056,            0.000892,            0.000892,            0.000892
                  48,            0.020493,            0.012545,            0.021839,             0.61757,             0.60323,             0.62552,              0.4879,            0.027545,            0.010947,            0.044809,            0.000694,            0.000694,            0.000694
                  49,            0.019726,            0.012215,            0.022189,             0.64897,             0.60087,              0.6319,             0.49168,            0.027654,            0.010985,             0.04419,            0.000496,            0.000496,            0.000496
